,0
2024-01-03,37882000.0
2024-01-05,37882000.0
2024-01-06,41171800.0
2024-01-09,37882000.0
2024-01-10,37882000.0
2024-01-13,37882000.0
2024-01-23,37882000.0
2024-01-24,37882000.0
2024-01-27,37882000.0
2024-01-30,37882000.0
2024-02-02,37882000.0
2024-02-03,37882000.0
2024-02-07,37882000.0
2024-02-09,38403900.0
2024-02-10,37882000.0
2024-02-13,37882000.0
2024-02-14,37882000.0
2024-02-15,37882000.0
2024-02-17,37882000.0
2024-02-20,37882000.0
2024-02-21,37882000.0
2024-02-22,37882000.0
2024-02-24,37882000.0
2024-02-27,38398100.0
2024-02-28,38398100.0
2024-03-01,38398100.0
2024-03-04,38410500.0
2024-03-05,39553100.0
2024-03-06,38398100.0
2024-03-07,38398100.0
2024-03-08,38398100.0
2024-03-09,38398100.0
2024-03-12,39578700.0
2024-03-16,39091000.0
2024-03-19,38398100.0
2024-03-21,38398100.0
2024-03-22,38398100.0
2024-03-23,38398100.0
2024-03-26,38557600.0
2024-03-27,38398100.0
2024-03-28,38398100.0
2024-04-12,38398100.0
2024-04-13,38398100.0
2024-04-16,38398100.0
2024-04-17,38398100.0
2024-04-25,38398100.0
2024-04-30,40765100.0
2024-05-01,38398100.0
2024-05-02,38729500.0
2024-05-04,38729500.0
2024-05-06,38729500.0
2024-05-09,38729500.0
2024-05-10,38729500.0
2024-05-11,39942200.0
2024-05-16,38907900.0
2024-05-17,38907900.0
2024-05-18,38907900.0
2024-05-21,40204900.0
2024-05-22,38907900.0
2024-05-23,38907900.0
2024-05-24,38907900.0
2024-05-25,38907900.0
2024-05-31,38907900.0
2024-06-05,38907900.0
2024-06-06,38907900.0
2024-06-07,38907900.0
2024-06-08,38907900.0
2024-06-11,38907900.0
2024-06-12,38907900.0
2024-06-13,38907900.0
2024-06-14,38907900.0
2024-06-15,38907900.0
2024-06-19,38907900.0
2024-06-21,38907900.0
2024-06-22,38907900.0
2024-06-25,38907900.0
2024-06-27,38907900.0
2024-06-28,38907900.0
2024-06-29,38907900.0
2024-07-03,38907900.0
2024-07-06,38907900.0
2024-07-09,38907900.0
2024-07-10,38907900.0
2024-07-12,38907900.0
2024-07-16,38907900.0
2024-07-18,38907900.0
2024-07-25,38907900.0
2024-07-26,38907900.0
2024-07-31,39387100.0
2024-08-01,38907900.0
2024-08-02,38907900.0
2024-08-06,38907900.0
2024-08-07,38907900.0
2024-08-10,38907900.0
2024-08-13,40895700.0
2024-08-14,40895700.0
2024-08-16,40895700.0
2024-08-17,40895700.0
