,0
2024-01-05,144830000.0
2024-01-06,144830000.0
2024-01-09,144830000.0
2024-01-11,144830000.0
2024-01-12,144830000.0
2024-01-13,144830000.0
2024-01-17,144830000.0
2024-01-18,144830000.0
2024-01-19,144830000.0
2024-01-20,144830000.0
2024-01-30,144830000.0
2024-01-31,144830000.0
2024-02-01,144830000.0
2024-02-03,144830000.0
2024-02-06,144830000.0
2024-02-07,144830000.0
2024-02-08,144830000.0
2024-02-09,145640000.0
2024-02-10,145008992.0
2024-02-13,145008992.0
2024-02-15,145008992.0
2024-02-16,145008992.0
2024-02-17,145008992.0
2024-02-21,145008992.0
2024-02-23,145008992.0
2024-02-24,145008992.0
2024-02-28,145008992.0
2024-02-29,145008992.0
2024-03-02,145008992.0
2024-03-06,145008992.0
2024-03-07,145008992.0
2024-03-09,144603008.0
2024-03-10,144603008.0
2024-03-12,152290000.0
2024-03-15,144603008.0
2024-03-16,145210000.0
2024-03-19,144603008.0
2024-03-23,144603008.0
2024-03-26,147854000.0
2024-03-27,144603008.0
2024-03-28,147644000.0
2024-03-29,144603008.0
2024-04-09,144876992.0
2024-04-12,149359008.0
2024-04-13,144603008.0
2024-04-16,148744992.0
2024-04-17,144603008.0
2024-04-24,144603008.0
2024-04-25,144603008.0
2024-04-26,144603008.0
2024-04-27,144603008.0
2024-04-30,144603008.0
2024-05-01,144603008.0
2024-05-02,144603008.0
2024-05-04,144603008.0
2024-05-07,144603008.0
2024-05-08,144603008.0
2024-05-09,144603008.0
2024-05-10,145460000.0
2024-05-11,144603008.0
2024-05-18,145639008.0
2024-05-22,144603008.0
2024-05-23,144603008.0
2024-05-24,146614000.0
2024-05-25,144603008.0
2024-05-31,149104992.0
2024-06-01,144603008.0
2024-06-05,147151008.0
2024-06-07,144603008.0
2024-06-08,144603008.0
2024-06-11,143704992.0
2024-06-12,143704992.0
2024-06-13,143704992.0
2024-06-14,143704992.0
2024-06-18,143704992.0
2024-06-19,143704992.0
2024-06-21,143704992.0
2024-06-22,143704992.0
2024-06-26,143704992.0
2024-06-28,143704992.0
2024-06-29,143704992.0
2024-07-02,143704992.0
2024-07-03,143704992.0
2024-07-09,143704992.0
2024-07-10,147918000.0
2024-07-11,143704992.0
2024-07-17,143704992.0
2024-07-18,147268000.0
2024-07-20,143704992.0
2024-07-24,143704992.0
2024-07-26,143704992.0
2024-07-27,143704992.0
2024-07-30,143704992.0
2024-08-01,143704992.0
2024-08-03,143704992.0
2024-08-09,143704992.0
2024-08-10,143704992.0
2024-08-13,143704992.0
