,0
2024-03-20,151812992.0
2024-03-21,151812992.0
2024-03-22,151812992.0
2024-03-23,151812992.0
2024-03-26,158020000.0
2024-03-27,151812992.0
2024-03-28,152464000.0
2024-03-29,151812992.0
2024-04-02,151812992.0
2024-04-04,151812992.0
2024-04-09,151812992.0
2024-04-16,156124000.0
2024-04-17,151812992.0
2024-04-18,151812992.0
2024-04-20,151812992.0
2024-04-25,152542000.0
2024-04-26,151812992.0
2024-05-04,151812992.0
2024-05-06,151812992.0
2024-05-07,151812992.0
2024-05-08,152460992.0
2024-05-09,152460992.0
2024-05-10,152460992.0
2024-05-11,154818000.0
2024-05-15,152460992.0
2024-05-18,152460992.0
2024-05-21,155282000.0
2024-05-22,152460992.0
2024-05-23,154492000.0
2024-05-24,152460992.0
2024-05-25,152460992.0
2024-05-29,152460992.0
2024-06-01,152460992.0
2024-06-04,152460992.0
2024-06-05,152460992.0
2024-06-07,152460992.0
2024-06-12,152460992.0
2024-06-13,152460992.0
2024-06-15,152460992.0
2024-06-21,152460992.0
2024-06-22,152460992.0
2024-06-25,152460992.0
2024-06-26,152460992.0
2024-06-27,152460992.0
2024-06-28,152460992.0
2024-06-29,152460992.0
2024-07-03,152460992.0
2024-07-10,155384000.0
2024-07-12,152460992.0
2024-07-13,152460992.0
2024-07-16,152460992.0
2024-07-17,152460992.0
2024-07-18,161831008.0
2024-07-20,152460992.0
2024-07-23,152460992.0
2024-07-24,152460992.0
2024-07-25,158608992.0
2024-07-26,152460992.0
2024-08-02,152460992.0
2024-08-08,152460992.0
2024-08-10,152460992.0
2024-08-15,152460992.0
2024-08-16,152460992.0
2024-08-17,153300000.0
2024-08-20,153300000.0
2024-08-21,153300000.0
2024-08-24,153300000.0
2024-08-27,153300000.0
2024-08-29,154643008.0
2024-08-30,153300000.0
2024-08-31,153300000.0
2024-09-04,166246000.0
2024-09-06,153300000.0
2024-09-07,166094000.0
2024-09-10,153300000.0
2024-09-16,158862000.0
2024-09-17,153300000.0
2024-09-21,153300000.0
2024-09-24,153300000.0
2024-09-26,153300000.0
2024-09-28,157720000.0
2024-10-01,153300000.0
2024-10-04,153300000.0
2024-10-05,154408000.0
2024-10-12,154408000.0
2024-10-15,157479008.0
2024-10-16,154408000.0
2024-10-17,154408000.0
2024-10-18,154408000.0
2024-10-22,154408000.0
2024-10-25,157598000.0
2024-10-29,154408000.0
2024-10-30,154408000.0
2024-10-31,154408000.0
2024-11-01,154408000.0
2024-11-05,154408000.0
2024-11-06,154408000.0
2024-11-07,154408000.0
2024-11-08,154664000.0
2024-11-13,154664000.0
2024-11-14,154664000.0
2024-11-15,154664000.0
2024-11-16,154664000.0
2024-11-20,154664000.0
2024-11-21,154664000.0
2024-11-23,154664000.0
2024-11-27,154664000.0
2024-12-03,154664000.0
2024-12-04,154664000.0
2024-12-05,154664000.0
2024-12-06,159447008.0
2024-12-07,154664000.0
2024-12-11,154664000.0
2024-12-12,154664000.0
2024-12-13,154664000.0
2024-12-17,154664000.0
2024-12-19,154664000.0
2024-12-20,154664000.0
2024-12-21,154664000.0
2024-12-27,154664000.0
2024-12-31,154664000.0
2025-01-03,154664000.0
2025-01-04,154664000.0
2025-01-07,162752992.0
2025-01-08,154664000.0
2025-01-11,161186000.0
2025-01-16,154664000.0
2025-01-18,154664000.0
2025-01-22,154664000.0
2025-01-23,154664000.0
2025-01-24,154664000.0
2025-01-30,154664000.0
2025-02-01,154664000.0
2025-02-05,154664000.0
2025-02-06,154664000.0
2025-02-07,154967008.0
2025-02-08,154967008.0
2025-02-12,154967008.0
2025-02-15,154967008.0
2025-02-19,154967008.0
2025-02-25,154967008.0
2025-02-26,154967008.0
2025-02-27,154967008.0
2025-03-04,154967008.0
2025-03-07,154967008.0
2025-03-08,154967008.0
2025-03-10,164170000.0
2025-03-11,154967008.0
2025-03-12,154967008.0
2025-03-15,154967008.0
2025-03-21,154967008.0
2025-03-22,154967008.0
2025-03-25,154967008.0
2025-03-26,154967008.0
2025-03-27,154967008.0
2025-03-28,154967008.0
2025-04-01,154967008.0
2025-04-02,154967008.0
2025-04-04,154967008.0
2025-04-05,154967008.0
2025-04-09,154967008.0
2025-04-10,176211008.0
2025-04-11,154967008.0
2025-04-12,154967008.0
2025-04-15,154967008.0
2025-04-18,154967008.0
2025-04-22,164392992.0
2025-04-23,154967008.0
2025-04-24,154967008.0
2025-04-26,154967008.0
2025-04-29,154967008.0
2025-04-30,154967008.0
2025-05-01,156220000.0
2025-05-02,154967008.0
2025-05-07,157543008.0
2025-05-09,154967008.0
2025-05-10,154967008.0
2025-05-15,158664000.0
2025-05-16,154967008.0
2025-05-17,154967008.0
2025-05-22,155440992.0
2025-05-23,155440992.0
2025-05-24,155440992.0
2025-05-29,161280992.0
2025-05-30,155440992.0
2025-05-31,155440992.0
2025-06-05,155440992.0
2025-06-06,155440992.0
2025-06-12,155440992.0
2025-06-13,155440992.0
2025-06-14,155440992.0
2025-06-18,155440992.0
2025-06-25,155440992.0
2025-06-30,155440992.0
2025-07-01,160051008.0
2025-07-02,155440992.0
2025-07-03,155440992.0
2025-07-08,155440992.0
2025-07-09,155440992.0
2025-07-10,155440992.0
2025-07-11,155440992.0
2025-07-12,155440992.0
2025-07-15,155440992.0
2025-07-17,155440992.0
2025-07-19,155440992.0
2025-07-23,155440992.0
2025-07-24,155440992.0
2025-07-28,155440992.0
2025-07-30,155440992.0
2025-08-05,155440992.0
2025-08-06,155440992.0
2025-08-08,155440992.0
2025-08-09,155440992.0
2025-08-13,155440992.0
2025-08-16,155804992.0
2025-08-19,155804992.0
2025-08-21,155804992.0
