,0
2024-01-03,36330900.0
2024-01-04,36330900.0
2024-01-05,36876000.0
2024-01-06,36330900.0
2024-01-09,36330900.0
2024-01-10,36330900.0
2024-01-11,36330900.0
2024-01-12,36330900.0
2024-01-13,36330900.0
2024-01-20,36330900.0
2024-01-25,36330900.0
2024-01-26,36330900.0
2024-01-30,36330900.0
2024-02-01,37406300.0
2024-02-06,36330900.0
2024-02-07,36308400.0
2024-02-15,36308400.0
2024-02-22,36308400.0
2024-02-24,36308400.0
2024-02-28,36308400.0
2024-03-01,36308400.0
2024-03-05,36308400.0
2024-03-06,36308400.0
2024-03-09,36308400.0
2024-03-12,36308400.0
2024-03-13,36308400.0
2024-03-15,36308400.0
2024-03-16,36308400.0
2024-03-19,36308400.0
2024-03-21,36308400.0
2024-03-23,36308400.0
2024-03-26,37424900.0
2024-03-27,36308400.0
2024-03-28,36759800.0
2024-03-29,36308400.0
2024-04-04,36308400.0
2024-04-05,36308400.0
2024-04-06,36308400.0
2024-04-09,36308400.0
2024-04-12,37387200.0
2024-04-13,36308400.0
2024-04-17,36314700.0
2024-04-18,37779400.0
2024-04-19,36308400.0
2024-04-20,36308400.0
2024-04-23,36308400.0
2024-04-24,36308400.0
2024-04-25,36308400.0
2024-04-27,36308400.0
2024-04-30,36308400.0
2024-05-02,36308400.0
2024-05-04,36308400.0
2024-05-07,36308400.0
2024-05-08,36145200.0
2024-05-11,36145200.0
2024-05-14,36145200.0
2024-05-16,36145200.0
2024-05-17,36382000.0
2024-05-21,36145200.0
2024-05-24,36145200.0
2024-05-25,36145200.0
2024-05-30,36145200.0
2024-05-31,36145200.0
2024-06-04,36145200.0
2024-06-05,36145200.0
2024-06-12,36719000.0
2024-06-13,36145200.0
2024-06-14,36145200.0
2024-06-18,36145200.0
2024-06-19,36145200.0
2024-06-21,37370700.0
2024-06-22,36145200.0
2024-06-25,36145200.0
2024-06-26,36145200.0
2024-06-27,36145200.0
2024-06-28,36145200.0
2024-06-29,36145200.0
2024-07-03,36330700.0
2024-07-10,36145200.0
2024-07-11,36145200.0
2024-07-12,36145200.0
2024-07-13,36145200.0
2024-07-17,36145200.0
2024-07-18,37970100.0
2024-07-20,36145200.0
2024-07-23,36608700.0
2024-07-24,36145200.0
2024-07-31,37485100.0
2024-08-01,36145200.0
2024-08-06,36145200.0
2024-08-07,36145200.0
2024-08-09,36145200.0
2024-08-10,36145200.0
2024-08-12,36324800.0
2024-08-13,36145200.0
2024-08-14,36145200.0
2024-08-15,36145200.0
2024-08-16,36145200.0
2024-08-17,36145200.0
2024-08-20,36145200.0
2024-08-21,36151000.0
2024-08-24,36151000.0
2024-08-27,38343900.0
2024-08-28,36151000.0
2024-08-29,36151000.0
2024-08-30,36151000.0
2024-08-31,36151000.0
2024-09-04,36151000.0
2024-09-05,36151000.0
2024-09-06,36151000.0
2024-09-07,36151000.0
2024-09-11,36151000.0
2024-09-12,36151000.0
2024-09-18,36151000.0
2024-09-19,36151000.0
2024-09-20,36151000.0
2024-09-21,36151000.0
2024-09-24,36151000.0
2024-09-25,36151000.0
2024-09-26,36151000.0
2024-10-05,36151000.0
2024-10-11,36151000.0
2024-10-15,36151000.0
2024-10-16,36151000.0
2024-10-17,36151000.0
2024-10-18,36151000.0
2024-10-19,36151000.0
2024-10-23,36151000.0
2024-10-24,36267900.0
2024-10-25,36434800.0
2024-10-26,36292900.0
2024-10-29,36267900.0
2024-10-30,36563400.0
2024-10-31,36267900.0
2024-11-01,36267900.0
2024-11-02,36267900.0
2024-11-06,36267900.0
2024-11-12,36267900.0
2024-11-14,36267900.0
2024-11-16,36267900.0
2024-11-19,36672300.0
2024-11-20,36267900.0
2024-11-22,36267900.0
2024-11-26,36267900.0
2024-11-28,36267900.0
2024-11-30,36267900.0
2024-12-05,36267900.0
2024-12-07,36267900.0
2024-12-10,36267900.0
2024-12-11,36267900.0
2024-12-14,36267900.0
2024-12-17,36267900.0
2024-12-18,36267900.0
2024-12-19,36267900.0
2024-12-21,36267900.0
2024-12-24,36267900.0
2024-12-31,36267900.0
2025-01-01,36267900.0
2025-01-03,36267900.0
2025-01-09,36267900.0
2025-01-11,36267900.0
2025-01-14,36267900.0
2025-01-16,36267900.0
2025-01-17,36267900.0
2025-01-18,36267900.0
2025-01-22,36267900.0
2025-01-23,36267900.0
2025-01-28,36267900.0
2025-01-30,36267900.0
2025-02-04,36267900.0
2025-02-05,35989600.0
2025-02-08,35989600.0
2025-02-11,36189300.0
2025-02-14,35989600.0
2025-02-15,35989600.0
2025-02-19,35989600.0
2025-02-21,35989600.0
2025-02-25,35989600.0
2025-02-27,35989600.0
2025-03-04,37817700.0
2025-03-05,35989600.0
2025-03-06,35989600.0
2025-03-07,35989600.0
2025-03-10,37129400.0
2025-03-11,35989600.0
2025-03-14,35989600.0
2025-03-15,35989600.0
2025-03-19,35989600.0
2025-03-21,35989600.0
2025-03-22,35989600.0
2025-03-25,35989600.0
2025-03-26,38380900.0
2025-03-27,35989600.0
2025-03-28,35989600.0
2025-04-02,35989600.0
2025-04-03,35989600.0
2025-04-04,35989600.0
2025-04-08,35989600.0
2025-04-10,35989600.0
2025-04-15,35989600.0
2025-04-16,35989600.0
2025-04-18,35989600.0
2025-04-22,38318000.0
2025-04-23,37314300.0
2025-04-24,35989600.0
2025-04-25,35989600.0
2025-04-29,35989600.0
2025-04-30,35989600.0
2025-05-06,35989600.0
2025-05-07,35830500.0
2025-05-08,35830700.0
2025-05-10,36799700.0
2025-05-14,35830700.0
2025-05-15,35830700.0
2025-05-17,35830700.0
2025-05-22,35830700.0
2025-05-23,35830700.0
2025-05-24,35830700.0
2025-05-29,35830700.0
2025-05-30,36136800.0
2025-05-31,35830700.0
2025-06-05,35830700.0
2025-06-06,36141800.0
2025-06-07,35830700.0
2025-06-10,36156900.0
2025-06-11,35830700.0
2025-06-13,35830700.0
2025-06-14,35830700.0
2025-06-17,35830700.0
2025-06-18,35830700.0
2025-06-19,35830700.0
2025-06-21,35830700.0
2025-06-24,35830700.0
2025-06-25,35830700.0
2025-06-30,35945000.0
2025-07-01,35830700.0
2025-07-08,35830700.0
2025-07-09,35830700.0
2025-07-10,35975100.0
2025-07-11,35830700.0
2025-07-12,35830700.0
2025-07-16,35830700.0
2025-07-23,35830700.0
2025-07-26,35830700.0
2025-07-29,35830700.0
2025-07-30,35830700.0
2025-07-31,35830700.0
2025-08-01,35830700.0
2025-08-02,35830700.0
2025-08-06,35830700.0
2025-08-08,35830700.0
2025-08-09,35830700.0
2025-08-13,35830700.0
2025-08-15,35830700.0
2025-08-21,35729600.0
2025-08-22,35729600.0
2025-08-26,35729600.0
2025-08-27,35729600.0
2025-08-28,35729600.0
2025-08-29,35729600.0
2025-09-03,35729600.0
2025-09-06,35729600.0
2025-09-12,35729600.0
2025-09-13,35729600.0
2025-09-17,35729600.0
2025-09-18,35729581.0
2025-09-19,35729581.0
2025-09-23,35729581.0
2025-09-26,35933665.0
2025-09-27,35729581.0
2025-09-30,35729581.0
2025-10-02,35729581.0
2025-10-03,35729581.0
2025-10-06,36077115.0
2025-10-07,35729581.0
2025-10-08,35729581.0
2025-10-10,35729581.0
2025-10-14,35729581.0
2025-10-15,36430385.0
2025-10-16,35729581.0
2025-10-17,35729581.0
2025-10-18,35729581.0
2025-10-21,35935604.0
2025-10-22,35729581.0
2025-10-24,35826315.0
2025-10-25,35729581.0
2025-10-28,35729581.0
2025-10-29,35826315.0
2025-11-05,35827210.0
2025-11-08,36793228.0
2025-11-12,35827210.0
2025-11-15,35827210.0
2025-11-17,35827210.0
2026-02-04,35827210.0
2026-04-23,35826117.0
2026-05-05,35829221.0
2026-05-08,35829740.0
