,0
2024-01-06,66999800.0
2024-02-09,67400000.0
2024-03-04,67413400.0
2024-03-05,67400000.0
2024-03-12,67400000.0
2024-03-16,68435800.0
2024-03-26,71117400.0
2024-03-27,67400000.0
2024-04-16,67400000.0
2024-05-06,68362600.0
2024-05-07,67400000.0
2024-05-08,67600000.0
2024-05-21,69333696.0
2024-05-22,67600000.0
2024-05-23,68372704.0
2024-05-31,67709104.0
2024-06-12,69830000.0
2024-06-15,67914600.0
2024-06-21,69956304.0
2024-06-28,67724096.0
2024-07-10,68023696.0
2024-07-18,69529696.0
2024-07-24,67600000.0
2024-07-31,71390000.0
2024-08-01,67600000.0
2024-08-10,67600000.0
2024-08-16,67600000.0
2024-08-17,68239600.0
2024-08-22,68000000.0
2024-08-23,68000000.0
2024-08-27,71263904.0
2024-08-29,69093904.0
2024-09-04,73900800.0
2024-09-06,68000000.0
2024-09-07,71901696.0
2024-09-11,68093200.0
2024-09-28,68200200.0
2024-10-05,68626000.0
2024-10-08,70186896.0
2024-10-09,68626000.0
2024-10-10,68626000.0
2024-10-12,68626000.0
2024-10-15,68626000.0
2024-10-16,68626000.0
2024-10-17,68626000.0
2024-10-18,68626000.0
2024-10-19,68626000.0
2024-10-22,68626000.0
2024-10-23,68626000.0
2024-10-25,69708896.0
2024-10-29,68626000.0
2024-10-31,69056600.0
2024-11-01,68626000.0
2024-11-05,68626000.0
2024-11-06,68626000.0
2024-11-07,68626000.0
2024-11-09,68626000.0
2024-11-11,68626000.0
2024-11-12,68700000.0
2024-11-15,68700000.0
2024-11-16,68700000.0
2024-11-19,69476200.0
2024-11-20,68700000.0
2024-12-06,68700000.0
2024-12-11,68700000.0
2025-01-11,68700000.0
2025-01-14,68700000.0
2025-02-08,74114400.0
2025-02-15,69200000.0
2025-03-04,74087904.0
2025-03-10,74875296.0
2025-03-11,69200000.0
2025-03-22,71538496.0
2025-03-26,71692600.0
2025-03-27,74391800.0
2025-03-28,69200000.0
2025-04-01,69450800.0
2025-04-10,75946000.0
2025-04-11,69200000.0
2025-04-18,69479504.0
2025-04-22,71867400.0
2025-04-23,69682400.0
2025-04-30,69200000.0
2025-05-08,69400000.0
2025-05-10,70245200.0
2025-05-29,71691600.0
2025-05-30,69400000.0
2025-05-31,69400000.0
2025-06-11,69527000.0
2025-06-14,69400000.0
2025-06-26,69400000.0
2025-07-08,70672496.0
2025-07-10,69400000.0
2025-07-11,69400000.0
2025-08-02,69400000.0
2025-08-14,69800000.0
2025-08-21,69900000.0
2025-08-22,69900000.0
2025-09-20,69900000.0
2025-09-23,69900000.0
2025-10-06,72434680.0
2025-10-07,69900000.0
2025-10-08,69900000.0
2025-10-09,70912590.0
2025-10-11,70912590.0
2025-10-14,70912590.0
2025-10-15,72622308.0
2025-10-16,70912590.0
2025-10-18,70912590.0
2025-10-20,72573090.0
2025-10-22,71704618.0
2025-10-23,70912590.0
2025-10-31,70912590.0
2025-11-01,70912590.0
2025-11-04,70912590.0
2025-11-06,70912590.0
2025-11-08,70912590.0
2025-11-11,70912590.0
2025-11-17,70912590.0
2026-02-05,71400000.0
2026-05-06,77800000.0
2026-08-13,88600000.0
