,0
2024-01-03,1103910016.0
2024-01-05,1103910016.0
2024-01-06,1114189952.0
2024-01-17,1103910016.0
2024-01-18,1103910016.0
2024-01-19,1103910016.0
2024-01-20,1103910016.0
2024-01-24,1125479936.0
2024-01-25,1103910016.0
2024-01-26,1103910016.0
2024-01-27,1118329984.0
2024-01-30,1103910016.0
2024-01-31,1141190016.0
2024-02-01,1146649984.0
2024-02-06,1103910016.0
2024-02-07,1134700032.0
2024-02-08,1103910016.0
2024-02-09,1103910016.0
2024-02-13,1103910016.0
2024-02-16,1103910016.0
2024-02-21,1103910016.0
2024-02-22,1103910016.0
2024-02-23,1103910016.0
2024-02-24,1103910016.0
2024-02-27,1103910016.0
2024-02-29,1103910016.0
2024-03-01,1103910016.0
2024-03-02,1103910016.0
2024-03-06,1103910016.0
2024-03-08,1103910016.0
2024-03-12,1140349952.0
2024-03-13,1142130048.0
2024-03-14,1103910016.0
2024-03-16,1103910016.0
2024-03-19,1103910016.0
2024-03-20,1103910016.0
2024-03-22,1103910016.0
2024-03-23,1107369984.0
2024-03-28,1107369984.0
2024-03-29,1120329984.0
2024-04-02,1107369984.0
2024-04-03,1107369984.0
2024-04-04,1107369984.0
2024-04-05,1107369984.0
2024-04-09,1107369984.0
2024-04-12,1152659968.0
2024-04-13,1107369984.0
2024-04-16,1107369984.0
2024-04-17,1107369984.0
2024-04-18,1107369984.0
2024-04-19,1107369984.0
2024-04-23,1107369984.0
2024-04-25,1107369984.0
2024-04-26,1107369984.0
2024-04-27,1107369984.0
2024-04-30,1107369984.0
2024-05-01,1121090048.0
2024-05-02,1107369984.0
2024-05-07,1107369984.0
2024-05-08,1107369984.0
2024-05-10,1107369984.0
2024-05-11,1107369984.0
2024-05-17,1107369984.0
2024-05-20,1107369984.0
2024-05-21,1120400000.0
2024-05-22,1107369984.0
2024-05-23,1118070016.0
2024-05-24,1107459968.0
2024-05-31,1107369984.0
2024-06-01,1107369984.0
2024-06-04,1107369984.0
2024-06-05,1107369984.0
2024-06-07,1107369984.0
2024-06-08,1107369984.0
2024-06-12,1107369984.0
2024-06-13,1107369984.0
2024-06-15,1120920064.0
2024-06-18,1107369984.0
2024-06-19,1107369984.0
2024-06-21,1178809984.0
2024-06-22,1107369984.0
2024-06-26,1107369984.0
2024-06-27,1107369984.0
2024-06-28,1192620032.0
2024-06-29,1108839936.0
2024-07-02,1108839936.0
2024-07-03,1108839936.0
2024-07-06,1108839936.0
2024-07-10,1108839936.0
2024-07-12,1108839936.0
2024-07-16,1138669952.0
2024-07-17,1108839936.0
2024-07-18,1183480064.0
2024-07-19,1139800064.0
2024-07-20,1108839936.0
2024-07-23,1108839936.0
2024-07-24,1118840064.0
2024-07-25,1138579968.0
2024-07-26,1108839936.0
2024-07-27,1108839936.0
2024-07-30,1108839936.0
2024-07-31,1108839936.0
2024-08-01,1108839936.0
2024-08-02,1108839936.0
2024-08-03,1108839936.0
2024-08-06,1108839936.0
2024-08-07,1108839936.0
2024-08-09,1108839936.0
2024-08-10,1108839936.0
2024-08-13,1108839936.0
2024-08-14,1108839936.0
2024-08-15,1108839936.0
2024-08-17,1108839936.0
2024-08-20,1108839936.0
2024-08-21,1108839936.0
2024-08-23,1108839936.0
2024-08-27,1108839936.0
2024-08-28,1108839936.0
2024-08-30,1108839936.0
2024-08-31,1108839936.0
2024-09-04,1108839936.0
2024-09-06,1108839936.0
2024-09-07,1147609984.0
2024-09-10,1108839936.0
2024-09-12,1108839936.0
2024-09-13,1108839936.0
