,0
2024-01-02,209184000.0
2024-01-03,209184000.0
2024-01-04,209184000.0
2024-01-05,209184000.0
2024-01-11,209184000.0
2024-01-12,209184000.0
2024-01-17,209184000.0
2024-01-18,209184000.0
2024-01-23,209184000.0
2024-01-25,210000000.0
2024-01-26,210000000.0
2024-01-30,209511008.0
2024-02-01,209511008.0
2024-02-02,209511008.0
2024-02-06,209511008.0
2024-02-07,209511008.0
2024-02-08,209511008.0
2024-02-09,209511008.0
2024-02-10,209511008.0
2024-02-13,209511008.0
2024-02-14,209511008.0
2024-02-16,209511008.0
2024-02-17,209511008.0
2024-02-21,209511008.0
2024-02-22,209511008.0
2024-02-28,209511008.0
2024-03-01,209511008.0
2024-03-02,209511008.0
2024-03-05,209511008.0
2024-03-09,209511008.0
2024-03-12,209511008.0
2024-03-13,215300000.0
2024-03-14,209511008.0
2024-03-16,209511008.0
2024-03-19,209511008.0
2024-03-20,209511008.0
2024-03-21,209511008.0
2024-03-23,209511008.0
2024-03-26,209511008.0
2024-04-12,218315008.0
2024-04-13,209511008.0
2024-04-16,209511008.0
2024-04-17,209511008.0
2024-04-18,209511008.0
2024-04-19,209511008.0
2024-04-23,209511008.0
2024-04-24,209511008.0
2024-04-30,209988992.0
2024-05-01,210404000.0
2024-05-07,209988992.0
2024-05-08,209988992.0
2024-05-14,211927008.0
2024-05-18,216535008.0
2024-05-21,217190000.0
2024-05-22,209988992.0
2024-05-24,212707008.0
2024-05-25,209988992.0
2024-05-31,211187008.0
2024-06-04,209988992.0
2024-06-05,209988992.0
2024-06-06,209988992.0
2024-06-08,209988992.0
2024-06-12,209988992.0
2024-06-13,209988992.0
2024-06-14,209988992.0
2024-06-15,211828000.0
2024-06-19,209988992.0
2024-06-21,209988992.0
2024-06-27,209988992.0
2024-06-28,209988992.0
2024-07-04,209988992.0
2024-07-09,209988992.0
2024-07-10,209988992.0
2024-07-11,209988992.0
2024-07-12,209988992.0
2024-07-16,210452000.0
2024-07-17,209988992.0
2024-07-18,217552992.0
2024-07-19,209988992.0
2024-07-20,209988992.0
2024-07-23,209988992.0
2024-07-24,211743008.0
2024-07-26,221112992.0
2024-08-02,216712000.0
2024-08-03,219824992.0
2024-08-06,210195008.0
2024-08-07,210195008.0
2024-08-13,210195008.0
2024-08-14,210195008.0
2024-08-15,210195008.0
2024-08-23,210195008.0
2024-08-27,210195008.0
2024-08-29,213287008.0
2024-08-30,210195008.0
2024-09-04,210490000.0
2024-09-05,210490000.0
2024-09-07,216612000.0
2024-09-10,210490000.0
2024-09-11,210490000.0
2024-09-13,210490000.0
2024-09-17,211920992.0
2024-09-18,210490000.0
2024-09-19,210490000.0
2024-09-21,210490000.0
2024-09-24,210490000.0
2024-09-28,210490000.0
2024-10-01,210490000.0
2024-10-03,210490000.0
2024-10-04,210490000.0
2024-10-05,210490000.0
2024-10-09,210490000.0
2024-10-10,212708000.0
2024-10-11,210490000.0
2024-10-15,210490000.0
2024-10-16,210527008.0
2024-10-17,210490000.0
2024-10-18,211846000.0
2024-10-23,229034000.0
2024-10-24,211000000.0
2024-10-26,212044992.0
2024-10-29,215582000.0
2024-10-30,211530000.0
2024-10-31,214794000.0
2024-11-02,211530000.0
2024-11-09,211530000.0
2024-11-12,211530000.0
2024-11-13,215852992.0
2024-11-23,211530000.0
2024-11-26,211530000.0
2024-11-27,211530000.0
2024-11-28,211530000.0
2024-12-04,211530000.0
2024-12-05,211530000.0
2024-12-11,214520992.0
2024-12-12,211530000.0
2024-12-13,213154000.0
2024-12-14,217362000.0
2024-12-17,211530000.0
2024-12-18,213970000.0
2024-12-20,211530000.0
2024-12-25,211530000.0
2024-12-27,211530000.0
2025-01-04,211530000.0
2025-01-07,211530000.0
2025-01-08,211530000.0
2025-01-11,211530000.0
2025-01-14,211530000.0
2025-01-17,211530000.0
2025-01-18,211530000.0
2025-01-23,211530000.0
2025-01-28,211707008.0
2025-01-29,211707008.0
2025-02-01,215926000.0
2025-02-04,211707008.0
2025-02-05,211707008.0
2025-02-06,211707008.0
2025-02-07,211707008.0
2025-02-08,211707008.0
2025-02-11,211707008.0
2025-02-13,211707008.0
2025-02-19,211707008.0
2025-02-21,211707008.0
2025-02-22,211707008.0
2025-02-26,211707008.0
2025-02-27,211707008.0
2025-03-04,211707008.0
2025-03-05,211707008.0
2025-03-06,211707008.0
2025-03-08,211707008.0
2025-03-11,215603008.0
2025-03-13,211707008.0
2025-03-18,211707008.0
2025-03-19,211707008.0
2025-03-20,211707008.0
2025-03-22,211707008.0
2025-03-27,211707008.0
2025-03-28,212022000.0
2025-04-01,211707008.0
2025-04-02,211707008.0
2025-04-04,211707008.0
2025-04-10,211707008.0
2025-04-11,225370000.0
2025-04-15,211707008.0
2025-04-18,211707008.0
2025-04-22,217004992.0
2025-04-23,211707008.0
2025-04-25,211707008.0
2025-04-26,212578000.0
2025-04-29,211707008.0
2025-04-30,213160000.0
2025-05-04,212216992.0
2025-05-06,212216992.0
2025-05-07,212216992.0
2025-05-08,212216992.0
2025-05-09,212216992.0
2025-05-10,213526000.0
2025-05-16,212216992.0
2025-05-17,212216992.0
2025-05-21,212216992.0
2025-05-24,212216992.0
2025-05-28,212216992.0
2025-05-30,212576992.0
2025-05-31,212216992.0
2025-06-06,213420992.0
2025-06-07,212216992.0
2025-06-10,212216992.0
2025-06-11,215832000.0
2025-06-12,212216992.0
2025-06-13,212216992.0
2025-06-17,212216992.0
2025-06-18,212492992.0
2025-06-19,212216992.0
2025-06-21,212216992.0
2025-06-25,212216992.0
2025-06-26,212216992.0
2025-06-28,212216992.0
2025-06-30,212216992.0
2025-07-01,212216992.0
2025-07-02,212216992.0
2025-07-03,212216992.0
2025-07-04,212216992.0
2025-07-09,217976000.0
2025-07-10,215894000.0
2025-07-11,215938000.0
2025-07-12,212216992.0
2025-07-17,212216992.0
2025-07-18,212216992.0
2025-07-19,212216992.0
2025-07-23,212216992.0
2025-07-24,212216992.0
2025-07-26,212216992.0
2025-07-29,212216992.0
2025-07-30,212216992.0
2025-07-31,213000000.0
2025-08-01,213000000.0
2025-08-02,213000000.0
2025-08-05,212676992.0
2025-08-06,212676992.0
2025-08-07,219132000.0
2025-08-08,212676992.0
2025-08-09,212676992.0
2025-08-12,212676992.0
2025-08-13,212676992.0
2025-08-14,212676992.0
2025-08-21,212676992.0
2025-08-22,212676992.0
2025-08-23,212676992.0
2025-08-27,212676992.0
2025-08-29,212676992.0
2025-08-30,219004000.0
2025-09-04,212676992.0
2025-09-05,212676992.0
2025-09-09,212676992.0
2025-09-10,212676992.0
2025-09-11,212968000.0
2025-09-17,212968277.0
2025-09-18,212968277.0
2025-09-19,212968277.0
2025-09-20,212968277.0
2025-09-23,212968277.0
2025-09-25,212968277.0
2025-09-26,212968277.0
2025-10-02,212968277.0
2025-10-06,214611096.0
2025-10-07,212968277.0
2025-10-08,229834615.0
2025-10-11,212968277.0
2025-10-15,212968277.0
2025-10-16,212968277.0
2025-10-18,212968277.0
2025-10-20,223894821.0
2025-10-22,223717433.0
2025-10-23,212968277.0
2025-10-24,212968277.0
2025-10-27,216481995.0
2025-10-28,212968277.0
2025-10-29,212968277.0
2025-10-30,212968277.0
2025-11-01,213558113.0
2025-11-04,213558113.0
2025-11-05,213558113.0
2025-11-06,213558113.0
2025-11-08,213558113.0
2025-11-12,213558113.0
2025-11-14,217872054.0
2025-11-15,221542491.0
2025-11-17,217872054.0
2026-02-03,218073067.0
2026-03-04,224025377.0
2026-05-01,224228992.0
2026-05-30,224228992.0
2026-07-30,226252116.0
2026-08-06,227000000.0
