,0
2024-01-02,324243008.0
2024-01-05,324243008.0
2024-01-06,324567008.0
2024-01-10,324243008.0
2024-01-11,324243008.0
2024-01-16,324243008.0
2024-01-18,324243008.0
2024-01-20,324243008.0
2024-01-23,324243008.0
2024-01-24,324243008.0
2024-01-25,324243008.0
2024-02-09,328897984.0
2024-02-10,325955008.0
2024-02-13,324243008.0
2024-02-14,325860000.0
2024-02-21,325860000.0
2024-02-22,325860000.0
2024-02-23,325860000.0
2024-02-29,325860000.0
2024-03-01,325860000.0
2024-03-05,325860000.0
2024-03-06,325860000.0
2024-03-12,325860000.0
2024-03-13,325860000.0
2024-03-15,325860000.0
2024-03-16,325860000.0
2024-03-20,325860000.0
2024-03-29,325860000.0
2024-04-03,325860000.0
2024-04-04,325860000.0
2024-04-09,326476000.0
2024-04-13,326476000.0
2024-04-16,326476000.0
2024-04-19,326476000.0
2024-04-24,326476000.0
2024-04-25,326476000.0
2024-04-30,326476000.0
2024-05-01,326524992.0
2024-05-02,326524992.0
2024-05-03,326524992.0
2024-05-04,326524992.0
2024-05-06,326524992.0
2024-05-07,326524992.0
2024-05-08,326524992.0
2024-05-09,326524992.0
2024-05-10,326524992.0
2024-05-11,328759008.0
2024-05-15,326524992.0
2024-05-16,326524992.0
2024-05-21,326524992.0
2024-05-22,326524992.0
2024-05-23,326524992.0
2024-05-24,326524992.0
2024-05-25,326524992.0
2024-05-31,326524992.0
2024-06-04,326524992.0
2024-06-05,326524992.0
2024-06-06,326524992.0
2024-06-07,326524992.0
2024-06-08,326524992.0
2024-06-12,329169984.0
2024-06-13,326524992.0
2024-06-14,326524992.0
2024-06-15,332627008.0
2024-06-19,326524992.0
2024-06-21,343388000.0
2024-06-22,326524992.0
2024-06-27,326524992.0
2024-06-28,326524992.0
2024-07-02,326524992.0
2024-07-03,326524992.0
2024-07-04,326524992.0
2024-07-09,326524992.0
2024-07-10,326524992.0
2024-07-16,326524992.0
2024-07-17,326524992.0
2024-07-18,326524992.0
2024-07-19,326524992.0
2024-07-20,326524992.0
2024-07-23,326524992.0
2024-07-24,326972000.0
2024-07-25,326524992.0
2024-07-26,326524992.0
2024-07-27,326524992.0
2024-07-30,326524992.0
2024-07-31,326524992.0
2024-08-01,326524992.0
2024-08-21,343452000.0
2024-08-22,343452000.0
2024-08-27,343452000.0
2024-08-28,343452000.0
2024-08-29,343452000.0
2024-09-03,343452000.0
2024-09-04,343452000.0
2024-09-06,343452000.0
2024-09-07,343452000.0
2024-09-10,343452000.0
2024-09-11,343452000.0
2024-09-12,343452000.0
2024-09-16,348435008.0
2024-09-17,343452000.0
2024-09-18,343452000.0
2024-09-19,343452000.0
2024-09-21,343452000.0
2024-09-24,343452000.0
2024-09-28,343452000.0
2024-10-01,343452000.0
2024-10-04,343452000.0
2024-10-05,343452000.0
2024-10-08,343452000.0
2024-10-09,345673984.0
2024-10-10,345673984.0
2024-10-12,345673984.0
2024-10-15,345673984.0
2024-10-18,345673984.0
2024-10-19,345673984.0
2024-10-25,347184992.0
2024-10-29,352862016.0
2024-10-30,345673984.0
2024-10-31,345673984.0
2024-11-01,345708000.0
2024-11-02,345708000.0
2024-11-05,349207008.0
2024-11-06,345708000.0
2024-11-07,345708000.0
2024-11-12,345708000.0
2024-11-13,345708000.0
2024-11-14,345708000.0
2024-11-15,345708000.0
2024-11-16,345708000.0
2024-11-21,345708000.0
2024-11-27,345708000.0
2024-11-28,345708000.0
2024-11-30,345708000.0
2024-12-03,345708000.0
2024-12-04,345708000.0
2024-12-05,345708000.0
2024-12-06,345708000.0
2024-12-10,345708000.0
2024-12-11,345708000.0
2024-12-12,345708000.0
2024-12-13,366192000.0
2024-12-14,345708000.0
2024-12-17,345708000.0
2024-12-21,345708000.0
2024-12-25,345708000.0
2024-12-27,345708000.0
2024-12-28,345708000.0
2024-12-31,345708000.0
2025-01-01,345708000.0
2025-01-04,345708000.0
2025-01-07,345708000.0
2025-01-11,345708000.0
2025-01-14,345708000.0
2025-01-22,345708000.0
2025-01-23,345708000.0
2025-01-25,345708000.0
